trial,sequence,event_id,economic_loss,insured_loss,pa_loss
2054,1,504,363095249.7,18154762.49,13098655.06
2057,1,505,383037295.3,19151864.76,13648014.59
2067,1,506,560319230.8,28015961.54,18531742.33
2073,1,507,264538124.3,13226906.22,10383622.83
2075,1,508,197071560.9,9853578.044,8525067.271
2075,2,509,260979694.5,13048984.73,10285595.91
2077,1,510,440595511,22029775.55,15233616.94
2081,1,511,225593260.8,11279663.04,9310777.426
2082,1,512,710052045.9,35502602.3,22656552.34
2089,1,513,889894618.2,44494730.91,27610820
2089,2,514,852279338,42613966.9,26574601.69
2098,1,515,303412589.7,15170629.49,11454528.93
2101,1,516,516688503.3,25834425.17,17329811.67
2103,1,517,612661546.1,30633077.31,19973658.09
2104,1,518,853602202.7,42680110.14,26611043.71
2104,2,519,1356002797,67800139.83,40451076.02
2116,1,520,821197313.9,41059865.7,25718360.23
2119,1,521,202805259.8,10140262.99,8683018.076
2120,1,522,4084155819,204207791,115605696.6
2127,1,523,537870786.8,26893539.34,17913337.03
2133,2,524,566079360.7,28303968.04,18690421.25
2144,1,525,319650375.3,15982518.76,11901844.24
2146,1,526,743342653.5,37167132.68,23573635.42
2152,1,527,474173692.5,23708684.63,16158622.06
2158,1,528,497855031,24892751.55,16810990.89
2160,1,529,349359601.2,17467980.06,12720268.12
2165,1,530,53716974.02,2685848.701,4575963.43
2169,1,531,254786413.4,12739320.67,10114984.63
2175,1,532,190637883.7,9531894.185,8347833.603
2176,1,533,1059026756,52951337.8,32270038.72
2179,1,534,562416422.5,28120821.13,18589515.35
2184,1,535,217127995.4,10856399.77,9077577.968
2184,2,536,987829244,49391462.2,30308703.72
2187,1,537,277696212.1,13884810.61,10746099.24
2194,1,538,145053777.6,7252688.881,7092091.653
2195,1,539,1526967156,76348357.82,45160768.43
2201,1,540,167919794.6,8395989.732,7722000.173
2201,2,541,124805437.6,6240271.878,6534294.381
2205,1,542,57131221.01,2856561.05,4670018.432
2207,1,543,719902900.4,35995145.02,22927921.73
2209,1,544,302361011.5,15118050.58,11425560.26
2211,1,545,1364625098,68231254.91,40688601.49
2211,2,546,314492362.7,15724618.13,11759752.32
2212,1,547,415886603.3,20794330.17,14552940.84
2215,1,548,614746661.9,30737333.1,20031098.45
2216,1,549,292373137.4,14618656.87,11150416.27
2217,2,550,315831608.8,15791580.44,11796645.61
2222,1,551,389030810.7,19451540.54,13813122.77
2229,1,552,1492808134,74640406.69,44219762.43
2236,1,553,211678815.9,10583940.8,8927465.047
2239,1,554,276804607.5,13840230.38,10721537.49
2246,1,555,326032645.9,16301632.29,12077661.77
2249,1,556,92741602.54,4637080.127,5651006.188
2263,1,557,435789727.3,21789486.37,15101228.17
2263,2,558,164955823.5,8247791.173,7640349.281
2264,1,559,667038954.4,33351947.72,21471636.19
2270,1,560,318193972.9,15909698.64,11861723.55
2270,2,561,516607631.8,25830381.59,17327583.83
2274,1,562,186098939.1,9304946.956,8222795.654
2277,1,563,438714814.8,21935740.74,15181807.9
2288,1,564,206407389,10320369.45,8782248.819
2297,1,565,871237932.4,43561896.62,27096869.3
2297,2,566,717711322.4,35885566.12,22867548.58
2304,1,567,408601952.6,20430097.63,14352264.72
2316,1,568,211129568.7,10556478.43,8912334.493
